Location,Location Name,District Number,Region Number,Terr Num,EFF DT,Current Starting Rate,Staffing Level,Current Staffing Level,YTD Average Staffing Level,Current Staffing Score,YTD Staffing Score,Total Staffing Score,LY Turn %,YTD Turn %,YOY Turn Variance,Turnover Score,Unemployment Score,Kohl's to County Comp Score,County Score,Applicant Flow,Acceptance Rate,Acceptance Rate Score,Applicant Flow Score,Recruiting Score,Cost of Labor Zone,Wage Pressue Score,Wage Score Color,Starting Rate Buckets
1054,Myrtle Beach,75,14,1,4/1/17,9.00,1.00,1.00,0.94,1,3,2.4,0.08,0.00,-0.08,3,2,4,3,1.67,1,1,1,1,1,2.32,Green,9
1055,Morristown,35,5,1,4/1/17,9.00,1.00,1.00,0.96,1,2,1.7,0.15,0.04,-0.11,2,3,2,2.5,0,,2,1,1.6,1,1.91,Green,9
1056,Spring Hill,35,5,1,4/1/17,9.25,1.00,1.00,0.92,1,3,2.4,0.25,0.19,-0.07,3,5,2,3.5,4.78,0.88,3,2,2.6,1,2.82,Green,9.12
1057,Cookeville,35,5,1,4/1/17,9.00,1.00,1.00,0.98,1,2,1.7,0.04,0.03,-0.01,3,4,3,3.5,13.86,1,1,1,1,1,2.21,Green,9
1058,Lake Jackson,71,4,1,4/1/17,9.00,0.88,0.88,0.96,4,2,2.6,0.06,0.11,0.05,4,3,4,3.5,10.6,0.8,4,1,2.8,3,3.18,Yellow,9
1059,Laredo,61,4,1,4/1/17,9.00,1.00,1.00,0.96,1,2,1.7,0.08,0.12,0.03,4,3,2,2.5,,,,,,1,2.665,Green,9
1060,Killeen,40,4,1,4/1/17,9.00,0.91,0.91,0.94,3,3,3,0.10,0.05,-0.05,3,4,3,3.5,29.5,1,1,1,1,1,2.6,Green,9
1062,Culpeper,24,2,4,4/1/17,9.00,1.00,1.00,1.00,1,2,1.7,0.08,0.04,-0.04,3,5,2,3.5,,,,,,2,2.515,Green,9
1063,Parkersburg,20,15,4,4/1/17,9.00,1.00,1.00,0.98,1,2,1.7,0.11,0.04,-0.07,3,2,3,2.5,,,,,,1,2.315,Green,9
1064,Monument,25,12,3,4/1/17,9.30,1.00,1.00,0.98,1,2,1.7,0.04,0.08,0.04,4,5,3,4,14.25,0.8,4,1,2.8,2,3.01,Yellow,9.38
1065,Lenexa,76,7,2,4/1/17,9.00,1.00,1.00,0.90,1,4,3.1,0.14,0.06,-0.09,3,5,4,4.5,5.04,0.74,5,3,4.2,2,3.63,Yellow,9
1066,West Bloomfield,7,11,2,4/1/17,9.00,1.00,1.00,0.97,1,2,1.7,0.09,0.02,-0.07,3,4,4,4,2.35,1,1,1,1,3,2.31,Green,9
1067,Hackettstown,28,9,4,4/1/17,9.00,0.98,0.98,0.97,2,2,2,0.03,0.04,0.01,4,4,2,3,3.14,1,1,2,1.4,4,2.55,Green,9
1068,Monaca,20,15,4,4/1/17,9.00,1.00,1.00,1.00,1,2,1.7,0.06,0.05,-0.01,3,2,3,2.5,,,,,,2,2.315,Green,9
1069,Redding,55,13,3,4/1/17,10.50,1.00,1.00,1.00,1,2,1.7,0.05,0.01,-0.03,3,1,3,2,2.25,,2,1,1.6,2,2.06,Green,10.38
1070,Valdosta,30,16,1,4/1/17,9.00,0.91,0.91,0.93,3,3,3,0.06,0.10,0.04,4,4,3,3.5,1,1,1,1,1,1,2.85,Green,9
1071,Conroe,40,4,1,4/1/17,9.00,1.00,1.00,0.94,1,3,2.4,0.16,0.04,-0.13,2,3,4,3.5,24.38,1,1,1,1,3,2.17,Green,9
1072,Tilton,12,3,4,4/1/17,9.00,1.00,1.00,0.95,1,2,1.7,0.19,0.06,-0.13,2,5,4,4.5,2.88,1,1,1,1,2,2.16,Green,9
1073,Mesa East,50,12,3,4/1/17,10.00,1.00,1.00,0.98,1,2,1.7,0.08,0.04,-0.04,3,4,3,3.5,19.5,1,1,1,1,2,2.21,Green,10
1075,Victoria,71,4,1,4/1/17,9.00,0.94,0.94,0.93,3,3,3,0.10,0.15,0.05,4,3,3,3,0,,2,1,1.6,2,2.9,Green,9
1076,Lynnwood,9,10,3,4/1/17,11.00,1.00,1.00,0.95,1,2,1.7,0.09,0.04,-0.05,3,5,4,4.5,8.27,0.83,4,2,3.2,3,2.96,Green,10.5
1077,Riverbank,70,13,3,4/1/17,10.50,0.96,0.96,0.98,2,2,2,0.06,0.06,0.00,4,1,2,1.5,17.4,0.83,4,1,2.8,3,2.6,Green,10.38
1078,Benton Township,16,11,2,4/1/17,9.00,1.00,1.00,0.97,1,2,1.7,0.05,0.10,0.05,4,3,3,3,7.82,0.88,3,2,2.6,2,2.76,Green,9
1079,Auburn,69,3,4,4/1/17,9.70,1.00,1.00,1.00,1,1,1,0.01,0.09,0.08,4,2,2,2,4,0.5,5,2,3.8,2,2.65,Green,9.63
1081,Medford,77,10,3,4/1/17,9.75,1.00,1.00,0.96,1,2,1.7,0.05,0.06,0.01,4,4,4,4,2.5,,2,1,1.6,2,2.71,Green,9.63
1082,Bellingham,9,10,3,4/1/17,11.00,1.00,1.00,0.98,1,2,1.7,0.11,0.06,-0.04,3,3,3,3,13.83,1,1,1,1,2,2.11,Green,10.5
1083,South Fredericksburg,24,2,4,4/1/17,9.00,1.00,1.00,0.98,1,2,1.7,0.07,0.04,-0.04,3,5,3,4,3,1,1,2,1.4,4,2.41,Green,9
1084,Lake Pleasant,50,12,3,4/1/17,10.00,1.00,1.00,1.00,1,2,1.7,0.06,0.03,-0.03,3,4,3,3.5,,,,,,2,2.515,Green,10
1085,Newark,33,1,2,4/1/17,9.00,1.00,1.00,0.97,1,2,1.7,0.07,0.09,0.02,4,4,3,3.5,4.8,1,1,2,1.4,2,2.56,Green,9
1086,Ammon Idaho Falls,60,10,3,4/1/17,9.00,1.00,1.00,0.92,1,3,2.4,0.08,0.09,0.01,4,2,1,1.5,6,0.73,5,3,4.2,1,3.07,Yellow,9
1087,Defiance,80,1,2,4/1/17,9.00,1.00,1.00,0.97,1,2,1.7,0.12,0.07,-0.05,3,3,2,2.5,5.46,0.79,5,3,4.2,1,2.81,Green,9
1089,Prescott Valley,50,12,3,4/1/17,10.00,0.99,0.99,0.98,2,2,2,0.11,0.07,-0.04,3,4,3,3.5,,,,,,1,2.65,Green,10
1091,Cartersville,37,5,1,4/1/17,9.00,1.00,1.00,0.97,1,2,1.7,0.07,0.06,-0.02,3,4,3,3.5,4.5,,2,2,2,2,2.46,Green,9
1092,Pensacola,78,16,1,4/1/17,9.00,0.99,0.99,0.97,2,2,2,0.16,0.06,-0.10,3,4,4,4,,,,,,1,2.75,Green,9
1093,Greenville,44,14,1,4/1/17,9.00,1.00,1.00,0.99,1,2,1.7,0.04,0.06,0.02,4,3,2,2.5,,,,,,2,2.665,Green,9
1094,Meridian,60,10,3,4/1/17,9.00,0.90,0.90,0.94,3,3,3,0.13,0.17,0.04,4,5,5,5,4.88,1,1,2,1.4,1,3.25,Yellow,9
1095,Nampa,60,10,3,4/1/17,9.00,0.97,0.97,0.96,2,2,2,0.09,0.10,0.01,4,4,4,4,18.67,0.92,2,1,1.6,1,2.8,Green,9
1096,Portage,6,1,2,4/1/17,9.00,1.00,1.00,0.98,1,2,1.7,0.07,0.04,-0.03,3,3,2,2.5,17,,2,1,1.6,2,2.16,Green,9
1097,White Lake,31,11,2,4/1/17,9.00,1.00,1.00,0.91,1,3,2.4,0.14,0.12,-0.02,3,4,4,4,4.2,0.6,5,2,3.8,3,3.22,Yellow,9
1098,Washington,81,14,1,4/1/17,9.00,1.00,1.00,0.97,1,2,1.7,0.04,0.10,0.05,4,4,3,3.5,1.25,,2,1,1.6,2,2.61,Green,9
1102,Tramonto,50,12,3,4/1/17,10.00,1.00,1.00,0.97,1,2,1.7,0.09,0.06,-0.03,3,4,3,3.5,7,1,1,2,1.4,2,2.31,Green,10
1103,Branson,23,14,1,4/1/17,9.00,0.84,0.84,0.90,4,4,4,0.02,0.10,0.09,4,1,4,2.5,4.08,0.92,2,2,2,1,3.2,Yellow,9
1104,Brownsburg,4,6,2,4/1/17,9.00,1.00,1.00,0.98,1,2,1.7,0.05,0.11,0.06,4,5,2,3.5,3.28,0.72,5,2,3.8,2,3.16,Yellow,9
1105,Brownsville,61,4,1,4/1/17,9.00,1.00,1.00,1.00,1,2,1.7,0.07,0.03,-0.04,3,1,3,2,1,1,1,1,1,1,1.91,Green,9
1106,Burlington,9,10,3,4/1/17,11.00,1.00,1.00,0.98,1,2,1.7,0.01,0.01,0.00,4,2,4,3,7,0.75,5,2,3.8,2,3.06,Yellow,10.5
1107,Casa Grande,51,12,3,4/1/17,10.00,1.00,1.00,1.00,1,2,1.7,0.04,0.02,-0.01,3,3,5,4,,,,,,2,2.615,Green,10
1108,Clackamas,77,10,3,4/1/17,9.75,0.99,0.99,0.93,2,3,2.7,0.19,0.10,-0.09,3,5,4,4.5,4.27,0.91,2,2,2,2,2.96,Green,9.63
1109,College Station,40,4,1,4/1/17,9.00,1.00,1.00,0.97,1,2,1.7,0.22,0.08,-0.14,2,5,3,4,17,0.8,4,1,2.8,1,2.51,Green,9
1110,Covington,22,16,1,4/1/17,9.00,1.00,1.00,0.92,1,3,2.4,0.13,0.06,-0.07,3,4,3,3.5,3.75,1,1,2,1.4,2,2.52,Green,9
1111,Derby,34,5,1,4/1/17,9.00,0.94,0.94,0.94,3,3,3,0.16,0.05,-0.12,2,4,3,3.5,8.1,0.71,5,2,3.8,1,3.05,Yellow,9
1112,Eagle Pass,61,4,1,4/1/17,9.00,1.00,1.00,0.96,1,2,1.7,0.03,0.01,-0.02,3,1,3,2,,,,,,1,2.215,Green,9
1113,East Amherst,69,3,4,4/1/17,9.70,1.00,1.00,0.98,1,2,1.7,0.06,0.08,0.02,4,3,1,2,6.78,1,1,3,1.8,2,2.36,Green,9.63
1115,Florence,75,14,1,4/1/17,9.00,1.00,1.00,0.94,1,3,2.4,0.11,0.12,0.01,4,4,2,3,27.11,1,1,1,1,1,2.57,Green,9
1117,Hazel Dell,77,10,3,4/1/17,11.00,1.00,1.00,0.97,1,2,1.7,0.10,0.07,-0.03,3,3,4,3.5,,,,,,2,2.515,Green,10.5
1118,Jefferson City,23,14,1,4/1/17,9.00,1.00,1.00,0.94,1,3,2.4,0.12,0.09,-0.03,3,5,2,3.5,7.42,0.93,2,2,2,1,2.67,Green,9
1119,Lacey,9,10,3,4/1/17,11.00,1.00,1.00,0.98,1,2,1.7,0.14,0.00,-0.14,2,3,4,3.5,0.75,,2,1,1.6,2,2.11,Green,10.5
1121,Livermore,64,13,3,4/1/17,10.50,1.00,1.00,0.89,1,4,3.1,0.10,0.02,-0.07,3,5,4,4.5,1.65,0.78,5,1,3.4,5,3.43,Yellow,10.38
1122,Marina,64,13,3,4/1/17,10.50,1.00,1.00,0.96,1,2,1.7,0.05,0.06,0.01,4,1,3,2,9.82,1,1,2,1.4,4,2.26,Green,10.38
1123,McDonough,37,5,1,4/1/17,9.00,1.00,1.00,0.99,1,2,1.7,0.06,0.07,0.01,4,3,3,3,,,,,,2,2.765,Green,9
1124,Middletown,21,15,4,4/1/17,9.00,1.00,1.00,0.99,1,2,1.7,0.06,0.01,-0.05,3,4,3,3.5,33.5,1,1,1,1,3,2.21,Green,9
1125,Moreno Valley,47,8,3,4/1/17,10.50,1.00,1.00,1.00,1,1,1,0.07,0.01,-0.05,3,3,2,2.5,22.3,1,1,1,1,3,1.8,Green,10.38
1126,Mt Pleasant,75,14,1,4/1/17,9.00,1.00,1.00,0.83,1,4,3.1,0.20,0.09,-0.11,2,5,3,4,2.35,0.8,4,1,2.8,1,2.93,Green,9
1127,Naples,73,16,1,4/1/17,9.55,1.00,1.00,0.95,1,3,2.4,0.14,0.15,0.02,4,4,4,4,2.23,0.88,3,1,2.2,2,3.07,Yellow,9.63
1128,New Port Richey,73,16,1,4/1/17,9.00,1.00,1.00,0.98,1,2,1.7,0.10,0.05,-0.06,3,3,3,3,,,,,,2,2.415,Green,9
1130,North Las Vegas,14,10,3,4/1/17,9.00,0.93,0.93,0.98,3,2,2.3,0.09,0.13,0.04,4,3,4,3.5,5.07,0.89,3,3,3,2,3.14,Yellow,9
1132,Old Bridge,38,9,4,4/1/17,9.00,0.99,0.99,0.98,2,2,2,0.01,0.05,0.04,4,4,5,4.5,10.5,0.83,4,1,2.8,4,3.2,Yellow,9
1133,Panama City,78,16,1,4/1/17,9.00,1.00,1.00,0.98,1,2,1.7,0.07,0.03,-0.04,3,3,3,3,5.17,1,1,3,1.8,1,2.31,Green,9
1134,Portland Gateway,77,10,3,4/1/17,9.75,1.00,1.00,0.94,1,3,2.4,0.05,0.06,0.01,4,5,3,4,4.44,1,1,2,1.4,2,2.87,Green,9.63
1135,Princess Anne,58,2,4,4/1/17,9.00,1.00,1.00,1.00,1,1,1,0.07,0.11,0.05,4,5,3,4,18,1,1,1,1,2,2.35,Green,9
1136,Redmond,9,10,3,4/1/17,11.00,1.00,1.00,0.87,1,4,3.1,0.13,0.19,0.05,4,5,5,5,1.57,0.83,4,1,2.8,3,3.63,Yellow,10.5
1137,Rochester,12,3,4,4/1/17,9.00,0.99,0.99,0.92,2,3,2.7,0.21,0.12,-0.08,3,5,3,4,4,1,1,2,1.4,2,2.71,Green,9
1138,Rock Hill,10,14,1,4/1/17,9.00,1.00,1.00,0.98,1,2,1.7,0.10,0.04,-0.06,3,4,4,4,12.5,1,1,1,1,2,2.31,Green,9
1139,Rosenberg,71,4,1,4/1/17,9.00,0.97,0.97,0.94,2,3,2.7,0.17,0.11,-0.06,3,3,3,3,7.89,1,1,2,1.4,3,2.51,Green,9
1140,Salem,77,10,3,4/1/17,9.75,1.00,1.00,0.98,1,2,1.7,0.04,0.10,0.06,4,4,4,4,15.15,0.88,3,1,2.2,2,2.86,Green,9.63
1141,Santa Fe,59,12,3,4/1/17,11.10,1.00,1.00,0.99,1,2,1.7,0.03,0.05,0.02,4,3,2,2.5,,,,,,2,2.665,Green,10.5
1142,Sarasota,73,16,1,4/1/17,9.00,1.00,1.00,0.89,1,4,3.1,0.00,0.05,0.05,4,4,3,3.5,4.57,0.67,5,2,3.8,2,3.58,Yellow,9
1143,Ocean,38,9,4,4/1/17,9.00,1.00,1.00,0.97,1,2,1.7,0.11,0.06,-0.05,3,4,4,4,16,0.88,3,1,2.2,4,2.61,Green,9
1144,Silverdale,9,10,3,4/1/17,11.00,0.97,0.97,0.91,2,3,2.7,0.08,0.09,0.01,4,3,4,3.5,10.67,1,1,1,1,3,2.76,Green,10.5
1145,South Lebanon,13,2,4,4/1/17,9.00,1.00,1.00,0.97,1,2,1.7,0.04,0.08,0.04,4,4,4,4,8.2,1,1,2,1.4,2,2.66,Green,9
1146,Spokane North,60,10,3,4/1/17,11.00,0.96,0.96,0.93,2,3,2.7,0.09,0.08,-0.01,3,2,3,2.5,11.55,0.75,5,1,3.4,2,2.91,Green,10.5
1147,Springfield,80,1,2,4/1/17,9.00,1.00,1.00,1.00,1,1,1,0.07,0.06,-0.01,3,3,2,2.5,14.88,0.75,5,1,3.4,2,2.4,Green,9
1149,St Petersburg,73,16,1,4/1/17,9.00,1.00,1.00,1.00,1,2,1.7,0.11,0.07,-0.03,3,4,4,4,2.2,,2,1,1.6,2,2.46,Green,9
1151,Texarkana,53,5,1,4/1/17,9.00,0.85,0.85,0.90,4,3,3.3,0.18,0.08,-0.10,2,3,4,3.5,16.75,1,1,1,1,1,2.44,Green,9
1152,Tukwila,9,10,3,4/1/17,11.00,1.00,1.00,0.91,1,3,2.4,0.16,0.19,0.03,4,5,5,5,6.41,0.74,5,3,4.2,3,3.77,Orange,10.5
1153,Vincennes,11,6,2,4/1/17,9.00,1.00,1.00,0.93,1,3,2.4,0.16,0.16,0.00,3,4,1,2.5,7.67,0.75,5,2,3.8,1,2.92,Green,9
1155,Williamsport,65,15,4,4/1/17,9.00,0.94,0.94,0.91,3,3,3,0.11,0.15,0.04,4,2,2,2,6,0.92,2,3,2.4,1,2.9,Green,9
1156,Chambersburg,66,15,4,4/1/17,9.00,0.96,0.96,0.91,2,3,2.7,0.21,0.00,-0.21,1,4,2,3,5.32,0.5,5,3,4.2,2,2.71,Green,9
1157,Grove City,33,1,2,4/1/17,9.00,0.90,0.90,0.98,3,2,2.3,0.01,0.15,0.14,5,4,2,3,7.35,0.8,4,2,3.2,2,3.34,Yellow,9
1158,Ranson,66,15,4,4/1/17,9.00,0.96,0.96,0.94,2,3,2.7,0.06,0.12,0.06,4,5,4,4.5,10.4,0.83,4,1,2.8,2,3.41,Yellow,9
1159,Northeast Elk Grove,55,13,3,4/1/17,10.50,1.00,1.00,1.00,1,2,1.7,0.02,0.06,0.04,4,3,3,3,11.79,1,1,1,1,3,2.36,Green,10.38
1160,Jensen Beach,39,16,1,4/1/17,9.00,1.00,1.00,0.99,1,2,1.7,0.06,0.04,-0.03,3,4,3,3.5,,,,,,2,2.515,Green,9
1161,Brighton,59,12,3,4/1/17,9.30,0.99,0.99,0.94,2,3,2.7,0.16,0.11,-0.04,3,5,3,4,10.9,0.9,2,1,1.6,3,2.76,Green,9.38
1162,Oviedo,30,16,1,4/1/17,9.00,1.00,1.00,0.98,1,2,1.7,0.07,0.08,0.00,4,4,4,4,21,1,1,1,1,2,2.56,Green,9
1163,Flowery Branch,36,5,1,4/1/17,9.00,1.00,1.00,1.00,1,2,1.7,0.09,0.10,0.00,4,4,3,3.5,9.53,0.95,1,2,1.4,1,2.56,Green,9
1164,Warner Robbins,78,16,1,4/1/17,9.00,1.00,1.00,1.00,1,2,1.7,0.07,0.02,-0.04,3,3,3,3,80,1,1,1,1,1,2.11,Green,9
1165,Couer d'Alene,60,10,3,4/1/17,9.00,0.93,0.93,0.94,3,3,3,0.08,0.14,0.06,4,3,5,4,2.31,0.71,5,1,3.4,2,3.55,Yellow,9
1166,Council Bluffs,43,7,2,4/1/17,9.00,1.00,1.00,0.99,1,2,1.7,0.07,0.08,0.01,4,5,3,4,4.67,0.95,2,2,2,2,2.81,Green,9
1167,Monroe,22,16,1,4/1/17,9.00,1.00,1.00,0.98,1,2,1.7,0.05,0.09,0.04,4,3,2,2.5,16.5,1,1,1,1,1,2.26,Green,9
1168,Hilliard,33,1,2,4/1/17,9.00,1.00,1.00,1.00,1,2,1.7,0.11,0.06,-0.05,3,4,3,3.5,9.35,0.85,4,2,3.2,2,2.76,Green,9
1169,Richland,60,10,3,4/1/17,11.00,1.00,1.00,0.95,1,3,2.4,0.12,0.07,-0.05,3,1,3,2,20.5,1,1,1,1,3,2.12,Green,10.5
1171,Mission,61,4,1,4/1/17,9.00,0.96,0.96,0.93,2,3,2.7,0.08,0.03,-0.06,3,1,3,2,1,1,1,1,1,1,2.21,Green,9
1172,Reno West,14,10,3,4/1/17,9.00,0.97,0.97,0.96,2,2,2,0.14,0.17,0.04,4,4,5,4.5,5.41,0.85,3,3,3,2,3.25,Yellow,9
1173,San Antonio West,61,4,1,4/1/17,9.00,0.92,0.92,0.96,3,2,2.3,0.15,0.09,-0.06,3,4,4,4,20.75,1,1,1,1,2,2.49,Green,9
1174,Saratoga Springs,57,3,4,4/1/17,9.70,1.00,1.00,0.97,1,2,1.7,0.04,0.05,0.02,4,4,2,3,2.91,0.75,5,1,3.4,2,2.96,Green,9.63
1175,Williamsburg,58,2,4,4/1/17,9.00,1.00,1.00,0.94,1,3,2.4,0.13,0.13,0.00,3,5,1,3,4.53,0.83,4,2,3.2,2,2.87,Green,9
1176,Abilene,40,4,1,4/1/17,9.00,1.00,1.00,0.98,1,2,1.7,0.06,0.10,0.04,4,4,3,3.5,1,0.5,5,1,3.4,1,3.06,Yellow,9
1177,Baytown,71,4,1,4/1/17,9.25,1.00,1.00,0.92,1,3,2.4,0.10,0.03,-0.07,3,3,4,3.5,16.71,0,5,1,3.4,3,3.02,Yellow,9.12
1178,Carmel West,4,6,2,4/1/17,9.00,1.00,1.00,0.93,1,3,2.4,0.04,0.06,0.01,4,5,3,4,5.08,0.57,5,3,4.2,2,3.57,Yellow,9
1179,Dothan,78,16,1,4/1/17,9.00,0.99,0.99,0.95,2,2,2,0.11,0.09,-0.03,3,3,3,3,,,,,,1,2.55,Green,9
1180,Longview,68,4,1,4/1/17,9.00,1.00,1.00,0.97,1,2,1.7,0.14,0.04,-0.10,2,2,4,3,,,,,,2,2.065,Green,9
1181,Mansfield,68,4,1,4/1/17,9.00,1.00,1.00,0.95,1,2,1.7,0.11,0.05,-0.06,3,4,5,4.5,16,1,1,1,1,2,2.41,Green,9
1182,Tinley Park,6,1,2,4/1/17,9.00,1.00,1.00,0.97,1,2,1.7,0.07,0.07,0.00,4,3,4,3.5,18.55,0.92,2,1,1.6,3,2.61,Green,9
1183,Tupelo,53,5,1,4/1/17,9.00,1.00,1.00,0.97,1,2,1.7,0.10,0.10,0.00,4,5,3,4,9.57,1,1,2,1.4,1,2.66,Green,9
1184,Tyler,68,4,1,4/1/17,9.00,0.92,0.92,0.98,3,2,2.3,0.07,0.05,-0.02,3,4,3,3.5,52,1,1,1,1,2,2.39,Green,9
1185,Yorkville,49,1,2,4/1/17,9.00,1.00,1.00,0.96,1,2,1.7,0.08,0.04,-0.04,3,4,2,3,8.38,0.89,3,2,2.6,3,2.51,Green,9
1186,Beaumont,47,8,3,4/1/17,10.50,1.00,1.00,1.00,1,2,1.7,0.04,0.05,0.01,4,3,2,2.5,,,,,,3,2.665,Green,10.38
1187,Palm Desert,47,8,3,4/1/17,10.50,0.96,0.96,0.98,2,2,2,0.02,0.09,0.06,4,3,2,2.5,7.71,1,1,2,1.4,3,2.45,Green,10.38
1188,Bullhead City,14,10,3,4/1/17,10.00,1.00,1.00,0.97,1,2,1.7,0.15,0.09,-0.06,3,2,2,2,4.58,0.89,3,2,2.6,2,2.31,Green,10
1189,Effingham,11,6,2,4/1/17,9.00,1.00,1.00,1.00,1,1,1,0.12,0.03,-0.09,3,4,3,3.5,1.62,1,1,1,1,1,2,Green,9
1190,Elizabethtown,67,2,4,4/1/17,9.00,1.00,1.00,0.98,1,2,1.7,0.10,0.09,-0.01,3,3,3,3,18.9,0.75,5,1,3.4,1,2.71,Green,9
1191,Hattiesburg,22,16,1,4/1/17,9.00,1.00,1.00,1.00,1,2,1.7,0.04,0.03,-0.01,3,4,3,3.5,11,,2,1,1.6,1,2.36,Green,9
1192,Ellisville,81,14,1,4/1/17,9.00,0.94,0.94,0.91,3,3,3,0.08,0.15,0.07,4,4,3,3.5,1.41,0.92,2,1,1.6,2,3,Yellow,9
1193,Las Cruces,51,12,3,4/1/17,9.20,0.96,0.96,0.99,2,2,2,0.13,0.14,0.01,4,1,3,2,21.29,0.75,5,1,3.4,1,2.85,Green,9.12
1194,Norman,34,5,1,4/1/17,9.00,1.00,1.00,0.94,1,3,2.4,0.18,0.07,-0.10,2,5,3,4,3.63,0.75,5,2,3.8,1,2.97,Green,9
1195,Irmo,75,14,1,4/1/17,9.00,1.00,1.00,0.99,1,2,1.7,0.13,0.07,-0.07,3,5,3,4,32,,2,1,1.6,1,2.46,Green,9
1196,Kingsport,35,5,1,4/1/17,9.00,1.00,1.00,0.97,1,2,1.7,0.03,0.03,0.00,3,3,3,3,14.4,0.5,5,1,3.4,1,2.71,Green,9
1197,Smyrna,35,5,1,4/1/17,9.00,0.94,0.94,0.96,3,2,2.3,0.17,0.21,0.04,4,5,3,4,3.52,0.67,5,2,3.8,1,3.44,Yellow,9
1198,Wheeling,20,15,4,4/1/17,9.00,1.00,1.00,0.89,1,4,3.1,0.14,0.00,-0.14,2,3,2,2.5,11.5,1,1,1,1,1,2.18,Green,9
1199,Rhinelander,1,6,2,4/1/17,9.00,1.00,1.00,0.94,1,3,2.4,0.12,0.03,-0.10,3,2,4,3,4.43,0.88,3,2,2.6,1,2.72,Green,9
1200,Spanish Fort,22,16,1,4/1/17,9.00,0.98,0.98,0.96,2,2,2,0.13,0.05,-0.08,3,3,4,3.5,13.75,1,1,1,1,1,2.3,Green,9
1201,Orange Park West,30,16,1,4/1/17,9.00,1.00,1.00,1.00,1,2,1.7,0.05,0.11,0.06,4,4,3,3.5,5.64,1,1,3,1.8,2,2.66,Green,9
1202,Sanford,30,16,1,4/1/17,9.00,0.97,0.97,0.99,2,2,2,0.10,0.10,0.00,4,4,4,4,27,,2,1,1.6,2,2.8,Green,9
1203,Ithaca,57,3,4,4/1/17,9.70,0.94,0.94,0.82,3,4,3.7,0.14,0.03,-0.11,2,4,1,2.5,5,0.88,3,3,3,2,2.86,Green,9.63
1204,Lancaster,33,1,2,4/1/17,9.00,1.00,1.00,0.96,1,2,1.7,0.06,0.14,0.08,4,4,2,3,4.13,0.88,3,2,2.6,2,2.76,Green,9
1205,Cheyenne,59,12,3,4/1/17,9.00,1.00,1.00,0.93,1,3,2.4,0.13,0.05,-0.07,3,4,3,3.5,4.2,,2,2,2,1,2.67,Green,9
1207,Queen Creek,51,12,3,4/1/17,10.00,1.00,1.00,1.00,1,2,1.7,0.08,0.09,0.01,4,4,3,3.5,5.25,1,1,3,1.8,2,2.66,Green,10
1209,Port Charlotte,73,16,1,4/1/17,9.00,1.00,1.00,1.00,1,2,1.7,0.05,0.06,0.01,4,3,4,3.5,6.22,0.93,2,3,2.4,2,2.81,Green,9
1211,Ocala,30,16,1,4/1/17,9.00,0.91,0.91,0.95,3,2,2.3,0.11,0.06,-0.06,3,3,3,3,12.91,1,1,1,1,2,2.29,Green,9
1212,Canton,37,5,1,4/1/17,9.00,1.00,1.00,0.99,1,2,1.7,0.10,0.01,-0.09,3,5,3,4,3.5,1,1,2,1.4,2,2.41,Green,9
1215,Easley,75,14,1,4/1/17,9.00,0.75,0.75,0.81,5,4,4.3,0.14,0.12,-0.02,3,4,3,3.5,17,0.77,5,1,3.4,1,3.59,Yellow,9
1216,Suffolk NE,58,2,4,4/1/17,9.00,1.00,1.00,1.00,1,1,1,0.08,0.08,-0.01,3,4,3,3.5,9.78,0.88,3,2,2.6,2,2.4,Green,9
1217,Spokane East,60,10,3,4/1/17,11.00,1.00,1.00,0.95,1,3,2.4,0.07,0.06,-0.01,3,2,3,2.5,31,1,1,1,1,2,2.22,Green,10.5
1219,Harlingen,61,4,1,4/1/17,9.00,0.96,0.96,0.93,2,3,2.7,0.05,0.11,0.06,4,1,3,2,77.67,1,1,1,1,1,2.46,Green,9
1221,North Kingstown,42,3,4,4/1/17,9.60,1.00,1.00,0.99,1,2,1.7,0.07,0.08,0.01,4,4,3,3.5,1.88,0.75,5,1,3.4,3,3.06,Yellow,9.63
1222,Boynton Beach,39,16,1,4/1/17,9.00,0.98,0.98,0.92,2,3,2.7,0.09,0.08,-0.01,3,4,5,4.5,15.41,0.84,4,1,2.8,2,3.16,Yellow,9
1223,Frankfort,67,2,4,4/1/17,9.00,1.00,1.00,0.99,1,2,1.7,0.14,0.11,-0.03,3,4,2,3,6.11,0.4,5,3,4.2,1,2.91,Green,9
1224,Grafton Relo,3,6,2,4/1/17,9.00,1.00,1.00,1.00,1,2,1.7,0.06,0.04,-0.02,3,5,4,4.5,2.14,1,1,1,1,2,2.41,Green,9
1225,Richmond,67,2,4,4/1/17,9.00,1.00,1.00,0.94,1,3,2.4,0.02,0.04,0.02,4,4,3,3.5,12,,2,1,1.6,1,2.82,Green,9
1226,Tallahassee South,30,16,1,4/1/17,9.00,1.00,1.00,0.98,1,2,1.7,0.07,0.05,-0.03,3,4,3,3.5,,,,,,1,2.515,Green,9
1227,Centerville,62,12,3,4/1/17,9.00,1.00,1.00,0.92,1,3,2.4,0.20,0.09,-0.11,2,5,4,4.5,5.2,1,1,3,1.8,2,2.57,Green,9
1228,Cleveland,35,5,1,4/1/17,9.00,1.00,1.00,0.96,1,2,1.7,0.11,0.06,-0.05,3,4,3,3.5,13,0.79,5,1,3.4,1,2.81,Green,9
